Gene Symbol	CANCER_TYPE
ABI1	CANCER
ABL1	ALL,CML,CANCER
ABL2	CANCER
ACKR3	CANCER
ACSL3	PRAD,CANCER
ACSL6	AEL,CANCER
ACVR1	CANCER
ACVR2A	STAD,PAAD,CANCER
AFF1	CANCER
AFF3	ALL,CANCER
AFF4	ALL,CANCER
AKAP9	THCA,CANCER
AKT1	BRCA,COADREAD,NSCLC,CANCER,OV
AKT2	OV,CANCER
ALDH2	CANCER
ALK	ALCL,NSCLC,CANCER
AMER1	CANCER
APC	COADREAD,LGG,GBM,CANCER
APOBEC3B	CANCER
AR	PRAD,CANCER
ARHGAP26	MDS,CANCER
ARHGEF12	CANCER
ARID1A	BRCA,KIRC,CANCER
ARID1B	BRCA,LIHC,CANCER
ARID2	LIHC,CANCER
ARNT	CANCER
ASPSCR1	CANCER
ASXL1	MDS,CANCER
ATF1	CANCER,SKCM
ATIC	ALCL,CANCER
ATM	CANCER
ATP1A1	ACC,CANCER
ATP2B3	ACC,CANCER
ATR	STAD,CANCER
ATRX	CANCER,PAAD
AXIN1	COADREAD,LIHC,PRAD,CANCER
AXIN2	COADREAD,STAD,LIHC,CANCER
B2M	CANCER,COADREAD,SKCM,DLBCL
BAP1	BRCA,KIRC,NSCLC,UVM,CANCER
BCL10	MALT,CANCER
BCL11A	CANCER
BCL11B	CANCER
BCL2	CLL,CANCER
BCL3	CLL,CANCER
BCL5	CLL,CANCER
BCL6	CLL,CANCER
BCL7A	CANCER
BCL9	CANCER
BCL9L	COADREAD,STAD,CANCER
BCOR	CANCER
BCORL1	HNSC,CANCER
BCR	ALL,CML,CANCER
BIRC3	CLL,MM,MALT,MCL,CANCER
BLM	CANCER
BMPR1A	CANCER
BRAF	CANCER,CHOL,COADREAD,STAD,PRAD,SKCM,THCA,OV,NSCLC
BRCA1	OV,CANCER
BRCA2	BRCA,OV,CANCER
BRD3	CANCER
BRD4	CANCER
BRIP1	CANCER
BTG1	CANCER
BTK	CLL,CANCER
BUB1B	CANCER
C12orf9	CANCER
C15orf65	CANCER
C2orf44	COADREAD,CANCER
CACNA1D	ACC,CANCER
CALR	MDS,CANCER
CAMTA1	CANCER
CANT1	PRAD,CANCER
CARD11	CANCER,DLBCL
CARS	ALCL,CANCER
CASC5	CANCER
CASP8	BRCA,LIHC,CANCER
CBFA2T3	CANCER
CBFB	CANCER
CBL	MDS,CANCER
CBLB	CANCER
CBLC	CANCER
CCDC6	THCA,NSCLC,CML,CANCER
CCNB1IP1	CANCER
CCND1	CLL,BRCA,CANCER
CCND2	CANCER
CCND3	MM,CANCER
CCNE1	OV,CANCER
CD274	CANCER
CD74	NSCLC,CANCER
CD79A	CANCER,DLBCL
CD79B	CANCER,DLBCL
CDC73	CANCER
CDH1	STAD,CANCER
CDH11	CANCER
