SYMBOL	CLUSTER	N	MIN_L	MAX	MIN_R	WIDTH	MUT	SCORE	CGC
BRAF	obs	2	495	523	608	113	247	228.41563293079625	True
BRAF	obs	4	893	924	955	62	7	1.9874368670764573	True
BRAF	obs	9	1570	1629	1656	86	3	1.7071175707797663	True
BRAF	obs	0	102	141	172	70	4	1.0413786293459502	True
BRAF	obs	6	1204	1296	1404	200	6	0.5481004239416724	True
IDH1	obs	4	827	854	880	53	17	16.414213562373096	True
IDH1	obs	5	1126	1152	1178	52	2	2.0	True
KRAS	obs	1	471	501	530	59	7	3.931980515339464	True
KRAS	obs	2	640	668	696	56	4	2.207106781186547	True
NRAS	obs	0	359	387	440	81	117	101.52699825132694	True
NRAS	obs	1	506	534	562	56	7	4.32842712474619	True
RAC1	obs	1	15	86	125	110	18	11.877611652743775	True
