SYMBOL	ENSID	CGC	CHROMOSOME	STRAND	LENGTH	TOTAL_MUT	CLUSTERED_MUT	CLUSTERS	SIM_CLUSTERS	SCORE	P_EMPIRICAL	Q_EMPIRICAL	P_ANALYTICAL	Q_ANALYTICAL	P_TOPCLUSTER	Q_TOPCLUSTER
KRAS	ENSG00000133703	True	12	-	699	121	120	2	2070	9442.229569011974	0.001	0.052	1.1102230246251566e-19	1.1546319456101627e-17	1.3919286331779191e-05	0.0014476057785050359
GNAS	ENSG00000087460	True	20	+	4084	8	6	1	1025	406.06601717798213	0.001	0.052	0.0001935181552301587	0.010062944071968252	0.00032076959494060773	0.0166800189369116
CDKN2A	ENSG00000147889	True	9	-	915	22	20	5	3686	371.31759037389673	0.004	0.0832	0.005940801767540609	0.16756009783199913	0.007084233517005521	0.157918203065141
TP53	ENSG00000141510	True	17	-	1363	83	76	8	8707	435.15803721806145	0.003	0.078	0.015160679645575655	0.16756009783199913	0.007592221301208703	0.157918203065141
SMAD4	ENSG00000141646	True	18	+	1765	24	15	4	2565	179.36964692724698	0.003	0.078	0.01643902058284369	0.16756009783199913	0.037243177225206696	0.1698670970769193
FBXL7	ENSG00000183580	False	5	+	1474	2	2	1	427	200.0	0.039	0.2304	0.0190003686008018	0.16756009783199913	0.0190003686008018	0.16147880142882015
ABCC8	ENSG00000006071	False	11	-	4758	2	2	1	487	200.0	0.04	0.2304	0.019500084819542393	0.16756009783199913	0.019500084819542393	0.16147880142882015
EEF2	ENSG00000167658	False	19	-	2720	3	2	1	452	133.33333333333331	0.042	0.2304	0.02050013931684665	0.16756009783199913	0.020500139316846654	0.16147880142882015
TNXB	ENSG00000168477	False	6	-	12900	7	2	1	446	57.14285714285714	0.043	0.2304	0.0210001041751965	0.16756009783199913	0.021000104175196502	0.16147880142882015
U2AF1	ENSG00000160201	True	21	-	787	2	2	1	440	200.0	0.045	0.2304	0.022000118187991063	0.16756009783199913	0.022000118187991063	0.16147880142882015
LILRA1	ENSG00000104974	False	19	+	1467	3	2	1	426	133.33333333333331	0.05	0.2304	0.024500194773422294	0.16756009783199913	0.024500194773422294	0.16147880142882015
OR6C6	ENSG00000188324	False	12	-	942	2	2	1	457	200.0	0.051	0.2304	0.02500019289712475	0.16756009783199913	0.02500019289712475	0.16147880142882015
NUP210L	ENSG00000143552	False	1	-	5664	2	2	1	422	200.0	0.052	0.2304	0.02550041334158448	0.16756009783199913	0.025500413341584476	0.16147880142882015
WNT7B	ENSG00000188064	False	22	-	1198	2	2	1	415	200.0	0.053	0.2304	0.026000276256859894	0.16756009783199913	0.02600027625685989	0.16147880142882015
NUAK1	ENSG00000074590	False	12	-	1983	4	2	1	424	100.0	0.055	0.2304	0.027000662712512054	0.16756009783199913	0.027000662712512054	0.16147880142882015
NOBOX	ENSG00000106410	False	7	-	2110	2	2	1	455	200.0	0.055	0.2304	0.027000668168554353	0.16756009783199913	0.02700066816855435	0.16147880142882015
RSPO1	ENSG00000169218	False	1	-	802	2	2	1	396	200.0	0.059	0.2304	0.029000209334086532	0.16756009783199913	0.02900020933408653	0.16147880142882015
HECW2	ENSG00000138411	False	2	-	4716	7	2	1	448	57.14285714285714	0.059	0.2304	0.029000786163230617	0.16756009783199913	0.029000786163230617	0.16147880142882015
TENM3	ENSG00000218336	False	4	+	8182	5	2	1	484	80.0	0.067	0.2304	0.03300042913618614	0.17274620041720606	0.033000429136186143	0.1698670970769193
